user_id,product_id,rating
1,519,3.4
1,970,4.3
1,747,4.5
1,540,4.5
1,640,4.3
1,584,4.3
1,111,4.5
1,890,4.1
1,538,4.5
1,197,4.5
1,500,4.2
1,894,4.1
1,674,4.2
1,304,4.5
1,781,4.4
1,427,4.3
1,330,4.2
1,360,4.2
1,343,4.3
1,962,4.4
2,324,4.4
2,32,4.4
2,440,4.3
2,259,4.2
2,553,4
2,264,4.2
2,567,4.1
2,974,4.4
2,130,4.3
2,209,4.5
2,647,4.1
2,502,4.1
2,930,4.2
2,526,4.2
2,905,4.4
2,820,4.4
2,555,4.4
2,292,4.3
2,53,4.3
3,981,3.5
3,372,4
3,683,4.2
3,919,4.3
3,694,4.4
3,963,4.2
3,21,4.5
3,328,4.5
3,188,4.3
3,970,4.3
3,982,4.3
3,202,4.4
3,671,4.3
3,912,4.3
3,514,4.5
3,844,4.3
3,633,3.9
3,760,4.2
3,801,4.4
4,181,4.4
4,580,4.2
4,720,4.4
4,322,4.5
4,161,3.6
4,124,4.5
4,511,4.3
4,263,4.4
4,59,4.4
4,915,4.3
4,475,4.5
4,408,4
4,25,4.5
4,92,4.5
4,720,4.4
4,946,4
4,399,4.4
4,322,4.5
4,207,4
5,617,4.3
5,566,4
5,486,4.2
5,227,4.4
5,262,4.5
5,246,4.4
5,767,4.5
5,59,4.4
5,8,3.9
5,670,4.4
5,804,4.3
5,273,4.4
5,257,4.4
5,754,4.1
5,296,4.4
5,176,4.2
5,74,4.4
5,322,4.5
5,932,4
5,806,4.3
6,160,4.3
6,950,4.6
6,78,4.2
6,993,4.3
6,231,4.2
6,226,4.4
6,372,4
6,161,3.6
6,141,4.2
6,319,4.1
6,346,4.3
6,534,4.6
6,525,4.2
6,351,4.3
6,702,4.5
6,624,4.5
6,913,4.3
6,240,4.5
6,680,4.3
6,85,4.2
6,213,4.2
7,24,4.3
7,885,4.1
7,418,4.4
7,710,4.4
7,576,4.3
7,272,4.3
7,177,4.5
7,229,4.3
7,29,4.3
7,224,4.4
7,693,4.3
7,512,4.4
7,400,4.5
7,128,4.5
7,895,4.4
7,169,3
7,921,4.4
7,537,3.9
7,314,4.4
7,79,4.5
7,619,4.5
7,315,4.1
8,305,4.4
8,624,4.5
8,838,4.3
8,547,4.3
8,288,3.7
8,998,3.8
8,837,4.5
8,63,4.4
8,745,4.6
8,832,4.2
8,827,4.2
8,932,4
8,449,3.9
8,219,4.2
8,480,4.2
8,555,4.4
8,479,4.5
8,160,4.3
8,1003,4.1
8,972,4
8,806,4.3
8,443,4.4
8,65,4.3
8,612,4.2
8,867,4.3
8,909,4.5
8,947,4.4
8,905,4.4
9,475,4.5
9,82,4.5
9,228,4.4
9,381,4.2
9,969,4.4
9,778,4.4
9,321,4.4
9,677,4.1
9,883,4.3
9,124,4.5
9,937,4.4
9,629,5
9,146,4.4
9,878,4.5
9,243,4.5
9,32,4.4
9,166,4.2
9,314,4.4
9,820,4.4
9,442,4.5
9,902,4.2
9,905,4.4
10,791,4.4
10,129,4.3
10,304,4.5
10,743,4.4
10,970,4.3
10,368,4.3
10,481,4.2
10,988,4.2
10,610,4.5
10,82,4.5
10,585,4.1
10,485,4.4
10,891,4
10,878,4.5
10,462,4.5
10,858,4.2
10,308,3.9
10,664,4.1
10,473,4.5
10,149,4.3
10,21,4.5
10,166,4.2
10,105,4.4
10,587,4.5
10,212,4.3
11,482,4.4
11,402,4.2
11,259,4.2
11,773,4.4
11,368,4.3
11,620,4.4
11,238,4.2
11,265,4.4
11,794,4.3
11,728,4.5
11,166,4.2
11,645,4.2
11,479,4.5
11,658,4.2
11,862,4.4
11,51,4.3
11,513,4
11,10,4.4
11,53,4.3
11,494,4.4
11,48,4.5
11,843,4.3
11,702,4.5
11,112,4.5
11,320,4.4
11,418,4.4
11,185,4.4
11,522,4.3
11,796,4.4
11,224,4.4
12,673,4.3
12,180,3.9
12,84,4.6
12,974,4.4
12,48,4.5
12,954,4.3
12,19,4.2
12,510,4.3
12,620,4.4
12,665,4.3
12,893,3.9
12,553,4
12,133,4.3
12,3,4.5
12,178,4.3
12,813,4.4
12,723,4.4
12,446,4.1
12,947,4.4
13,676,4.4
13,675,4.4
13,912,4.3
13,387,4.4
13,908,4.5
13,45,4.4
13,544,3.5
13,311,4.2
13,327,4.3
13,659,4.4
13,274,4.1
13,649,3.9
13,321,4.4
13,135,4.3
